continent,location,date,population,new_vaccinations,total_new_vaccinations
Asia,Afghanistan,07/12/2020,41128772,0,0
Asia,Afghanistan,08/12/2020,41128772,0,0
Asia,Afghanistan,09/12/2020,41128772,0,0
Asia,Afghanistan,10/12/2020,41128772,0,0
Asia,Afghanistan,11/12/2020,41128772,0,0
Asia,Afghanistan,12/12/2020,41128772,0,0
Asia,Afghanistan,13/12/2020,41128772,0,0
Asia,Afghanistan,14/12/2020,41128772,0,0
Asia,Afghanistan,15/12/2020,41128772,0,0
Asia,Afghanistan,16/12/2020,41128772,0,0
Asia,Afghanistan,17/12/2020,41128772,0,0
Asia,Afghanistan,18/12/2020,41128772,0,0
Asia,Afghanistan,19/12/2020,41128772,0,0
Asia,Afghanistan,20/12/2020,41128772,0,0
Asia,Afghanistan,21/12/2020,41128772,0,0
Asia,Afghanistan,22/12/2020,41128772,0,0
Asia,Afghanistan,23/12/2020,41128772,0,0
Asia,Afghanistan,24/12/2020,41128772,0,0
Asia,Afghanistan,25/12/2020,41128772,0,0
Asia,Afghanistan,26/12/2020,41128772,0,0
Asia,Afghanistan,27/12/2020,41128772,0,0
Asia,Afghanistan,28/12/2020,41128772,0,0
Asia,Afghanistan,29/12/2020,41128772,0,0
Asia,Afghanistan,30/12/2020,41128772,0,0
Asia,Afghanistan,31/12/2020,41128772,0,0
Asia,Afghanistan,01/01/2021,41128772,0,0
Asia,Afghanistan,02/01/2021,41128772,0,0
Asia,Afghanistan,03/01/2021,41128772,0,0
Asia,Afghanistan,04/01/2021,41128772,0,0
Asia,Afghanistan,05/01/2021,41128772,0,0
Asia,Afghanistan,06/01/2021,41128772,0,0
Asia,Afghanistan,07/01/2021,41128772,0,0
Asia,Afghanistan,08/01/2021,41128772,0,0
Asia,Afghanistan,09/01/2021,41128772,0,0
Asia,Afghanistan,10/01/2021,41128772,0,0
Asia,Afghanistan,11/01/2021,41128772,0,0
Asia,Afghanistan,12/01/2021,41128772,0,0
Asia,Afghanistan,13/01/2021,41128772,0,0
Asia,Afghanistan,14/01/2021,41128772,0,0
Asia,Afghanistan,15/01/2021,41128772,0,0
Asia,Afghanistan,16/01/2021,41128772,0,0
Asia,Afghanistan,17/01/2021,41128772,0,0
Asia,Afghanistan,18/01/2021,41128772,0,0
Asia,Afghanistan,19/01/2021,41128772,0,0
Asia,Afghanistan,20/01/2021,41128772,0,0
Asia,Afghanistan,21/01/2021,41128772,0,0
Asia,Afghanistan,22/01/2021,41128772,0,0
Asia,Afghanistan,23/01/2021,41128772,0,0
Asia,Afghanistan,24/01/2021,41128772,0,0
Asia,Afghanistan,25/01/2021,41128772,0,0
Asia,Afghanistan,26/01/2021,41128772,0,0
Asia,Afghanistan,27/01/2021,41128772,0,0
Asia,Afghanistan,28/01/2021,41128772,0,0
Asia,Afghanistan,29/01/2021,41128772,0,0
Asia,Afghanistan,30/01/2021,41128772,0,0
Asia,Afghanistan,31/01/2021,41128772,0,0
Asia,Afghanistan,01/02/2021,41128772,0,0
Asia,Afghanistan,02/02/2021,41128772,0,0
Asia,Afghanistan,03/02/2021,41128772,0,0
Asia,Afghanistan,04/02/2021,41128772,0,0
Asia,Afghanistan,05/02/2021,41128772,0,0
Asia,Afghanistan,06/02/2021,41128772,0,0
Asia,Afghanistan,07/02/2021,41128772,0,0
Asia,Afghanistan,08/02/2021,41128772,0,0
Asia,Afghanistan,09/02/2021,41128772,0,0
Asia,Afghanistan,10/02/2021,41128772,0,0
Asia,Afghanistan,11/02/2021,41128772,0,0
Asia,Afghanistan,12/02/2021,41128772,0,0
Asia,Afghanistan,13/02/2021,41128772,0,0
Asia,Afghanistan,14/02/2021,41128772,0,0
Asia,Afghanistan,15/02/2021,41128772,0,0
Asia,Afghanistan,16/02/2021,41128772,0,0
Asia,Afghanistan,17/02/2021,41128772,0,0
Asia,Afghanistan,18/02/2021,41128772,0,0
Asia,Afghanistan,19/02/2021,41128772,0,0
Asia,Afghanistan,20/02/2021,41128772,0,0
Asia,Afghanistan,21/02/2021,41128772,0,0
Asia,Afghanistan,22/02/2021,41128772,0,0
Asia,Afghanistan,23/02/2021,41128772,0,0
Asia,Afghanistan,24/02/2021,41128772,0,0
Asia,Afghanistan,25/02/2021,41128772,0,0
Asia,Afghanistan,26/02/2021,41128772,0,0
Asia,Afghanistan,27/02/2021,41128772,0,0
Asia,Afghanistan,28/02/2021,41128772,0,0
Asia,Afghanistan,01/03/2021,41128772,0,0
Asia,Afghanistan,02/03/2021,41128772,0,0
Asia,Afghanistan,03/03/2021,41128772,0,0
Asia,Afghanistan,04/03/2021,41128772,0,0
Asia,Afghanistan,05/03/2021,41128772,0,0
Asia,Afghanistan,06/03/2021,41128772,0,0
Asia,Afghanistan,07/03/2021,41128772,0,0
Asia,Afghanistan,08/03/2021,41128772,0,0
Asia,Afghanistan,09/03/2021,41128772,0,0
Asia,Afghanistan,10/03/2021,41128772,0,0
Asia,Afghanistan,11/03/2021,41128772,0,0
Asia,Afghanistan,12/03/2021,41128772,0,0
Asia,Afghanistan,13/03/2021,41128772,0,0
Asia,Afghanistan,14/03/2021,41128772,0,0
Asia,Afghanistan,15/03/2021,41128772,0,0
Asia,Afghanistan,16/03/2021,41128772,0,0
Asia,Afghanistan,17/03/2021,41128772,0,0
Asia,Afghanistan,18/03/2021,41128772,0,0
Asia,Afghanistan,19/03/2021,41128772,0,0
Asia,Afghanistan,20/03/2021,41128772,0,0
Asia,Afghanistan,21/03/2021,41128772,0,0
Asia,Afghanistan,22/03/2021,41128772,0,0
Asia,Afghanistan,23/03/2021,41128772,0,0
Asia,Afghanistan,24/03/2021,41128772,0,0
Asia,Afghanistan,25/03/2021,41128772,0,0
Asia,Afghanistan,26/03/2021,41128772,0,0
Asia,Afghanistan,27/03/2021,41128772,0,0
Asia,Afghanistan,28/03/2021,41128772,0,0
Asia,Afghanistan,29/03/2021,41128772,0,0
Asia,Afghanistan,30/03/2021,41128772,0,0
Asia,Afghanistan,31/03/2021,41128772,0,0
Asia,Afghanistan,01/04/2021,41128772,0,0
Asia,Afghanistan,02/04/2021,41128772,0,0
Asia,Afghanistan,03/04/2021,41128772,0,0
Asia,Afghanistan,04/04/2021,41128772,0,0
Asia,Afghanistan,05/04/2021,41128772,0,0
Asia,Afghanistan,06/04/2021,41128772,0,0
Asia,Afghanistan,07/04/2021,41128772,0,0
Asia,Afghanistan,08/04/2021,41128772,0,0
Asia,Afghanistan,09/04/2021,41128772,0,0
Asia,Afghanistan,10/04/2021,41128772,0,0
Asia,Afghanistan,11/04/2021,41128772,0,0
Asia,Afghanistan,12/04/2021,41128772,0,0
Asia,Afghanistan,13/04/2021,41128772,0,0
Asia,Afghanistan,14/04/2021,41128772,0,0
Asia,Afghanistan,15/04/2021,41128772,0,0
Asia,Afghanistan,16/04/2021,41128772,0,0
Asia,Afghanistan,17/04/2021,41128772,0,0
Asia,Afghanistan,18/04/2021,41128772,0,0
Asia,Afghanistan,19/04/2021,41128772,0,0
Asia,Afghanistan,20/04/2021,41128772,0,0
Asia,Afghanistan,21/04/2021,41128772,0,0
Asia,Afghanistan,22/04/2021,41128772,0,0
Asia,Afghanistan,23/04/2021,41128772,0,0
Asia,Afghanistan,24/04/2021,41128772,0,0
Asia,Afghanistan,25/04/2021,41128772,0,0
Asia,Afghanistan,26/04/2021,41128772,0,0
Asia,Afghanistan,27/04/2021,41128772,0,0
Asia,Afghanistan,28/04/2021,41128772,0,0
Asia,Afghanistan,29/04/2021,41128772,0,0
Asia,Afghanistan,30/04/2021,41128772,0,0
Asia,Afghanistan,01/05/2021,41128772,0,0
Asia,Afghanistan,02/05/2021,41128772,0,0
Asia,Afghanistan,03/05/2021,41128772,0,0
Asia,Afghanistan,04/05/2021,41128772,0,0
Asia,Afghanistan,05/05/2021,41128772,0,0
Asia,Afghanistan,06/05/2021,41128772,0,0
Asia,Afghanistan,07/05/2021,41128772,0,0
Asia,Afghanistan,08/05/2021,41128772,0,0
Asia,Afghanistan,09/05/2021,41128772,0,0
Asia,Afghanistan,10/05/2021,41128772,0,0
Asia,Afghanistan,11/05/2021,41128772,0,0
Asia,Afghanistan,12/05/2021,41128772,0,0
Asia,Afghanistan,13/05/2021,41128772,0,0
Asia,Afghanistan,14/05/2021,41128772,0,0
Asia,Afghanistan,15/05/2021,41128772,0,0
Asia,Afghanistan,16/05/2021,41128772,0,0
Asia,Afghanistan,17/05/2021,41128772,0,0
Asia,Afghanistan,18/05/2021,41128772,0,0
Asia,Afghanistan,19/05/2021,41128772,0,0
Asia,Afghanistan,20/05/2021,41128772,0,0
Asia,Afghanistan,21/05/2021,41128772,0,0
Asia,Afghanistan,22/05/2021,41128772,0,0
Asia,Afghanistan,23/05/2021,41128772,0,0
Asia,Afghanistan,24/05/2021,41128772,0,0
Asia,Afghanistan,25/05/2021,41128772,0,0
Asia,Afghanistan,26/05/2021,41128772,0,0
Asia,Afghanistan,27/05/2021,41128772,2859,2859
Asia,Afghanistan,28/05/2021,41128772,0,2859
Asia,Afghanistan,29/05/2021,41128772,0,2859
Asia,Afghanistan,30/05/2021,41128772,0,2859
Asia,Afghanistan,31/05/2021,41128772,0,2859
Asia,Afghanistan,01/06/2021,41128772,0,2859
Asia,Afghanistan,02/06/2021,41128772,0,2859
Asia,Afghanistan,03/06/2021,41128772,4015,6874
Asia,Afghanistan,04/06/2021,41128772,0,6874
Asia,Afghanistan,05/06/2021,41128772,0,6874
Asia,Afghanistan,06/06/2021,41128772,0,6874
Asia,Afghanistan,07/06/2021,41128772,0,6874
Asia,Afghanistan,08/06/2021,41128772,0,6874
Asia,Afghanistan,09/06/2021,41128772,0,6874
Asia,Afghanistan,10/06/2021,41128772,0,6874
Asia,Afghanistan,11/06/2021,41128772,0,6874
Asia,Afghanistan,12/06/2021,41128772,0,6874
Asia,Afghanistan,13/06/2021,41128772,0,6874
Asia,Afghanistan,14/06/2021,41128772,0,6874
Asia,Afghanistan,15/06/2021,41128772,0,6874
Asia,Afghanistan,16/06/2021,41128772,0,6874
Asia,Afghanistan,17/06/2021,41128772,0,6874
Asia,Afghanistan,18/06/2021,41128772,0,6874
Asia,Afghanistan,19/06/2021,41128772,0,6874
Asia,Afghanistan,20/06/2021,41128772,0,6874
Asia,Afghanistan,21/06/2021,41128772,0,6874
Asia,Afghanistan,22/06/2021,41128772,0,6874
